P-3_normalized_wavelength_nm,P-3_normalized_abs_au,D-3_310nm_normalized_wavelength_nm,D-3_310nm_normalized_abs_au,P-3_plus_2M_HCl_normalized_wavelength_nm,P-3_plus_2M_HCl_normalized_abs_au,P-3_sat_NaHCO3_normalized_wavelength_nm,P-3_sat_NaHCO3_normalized_abs_au,D-3_310nm_repeat_normalized_wavelength_nm,D-3_310nm_repeat_normalized_abs_au,P-3_plus_2M_HCl_repeat_normalized_wavelength_nm,P-3_plus_2M_HCl_repeat_normalized_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-3_310nm_raw_wavelength_nm,D-3_310nm_raw_abs_au,P-3_plus_2M_HCl_raw_wavelength_nm,P-3_plus_2M_HCl_raw_abs_au,P-3_sat_NaHCO3_raw_wavelength_nm,P-3_sat_NaHCO3_raw_abs_au,D-3_310nm_repeat_raw_wavelength_nm,D-3_310nm_repeat_raw_abs_au,P-3_plus_2M_HCl_repeat_raw_wavelength_nm,P-3_plus_2M_HCl_repeat_raw_abs_au
779.50812,0.00828,779.50812,-2.75E-04,779.50812,0.01752,779.50812,0.01106,779.50812,0.00802,779.50812,0.00757,779.50812,0.0014,779.50812,-4.63E-05,779.50812,0.00295,779.50812,0.00186,779.50812,0.00135,779.50812,0.00128
778.98328,-0.00914,778.98328,-0.00458,778.98328,0.00262,778.98328,-0.00727,778.98328,0.00247,778.98328,-0.00645,778.98328,-0.00154,778.98328,-7.72E-04,778.98328,4.42E-04,778.98328,-0.00122,778.98328,4.15E-04,778.98328,-0.00109
778.49329,-0.00755,778.49329,-0.00287,778.49329,0.01393,778.49329,0.00391,778.49329,0.00962,778.49329,-0.00851,778.49329,-0.00127,778.49329,-4.84E-04,778.49329,0.00235,778.49329,6.58E-04,778.49329,0.00162,778.49329,-0.00143
778.0033,-0.00334,778.0033,-0.00766,778.0033,0.018,778.0033,0.01283,778.0033,-6.21E-04,778.0033,7.34E-04,778.0033,-5.63E-04,778.0033,-0.00129,778.0033,0.00303,778.0033,0.00216,778.0033,-1.05E-04,778.0033,1.24E-04
777.51306,-0.00413,777.51306,0.00105,777.51306,0.00832,777.51306,0.00745,777.51306,0.00536,777.51306,-0.00376,777.51306,-6.95E-04,777.51306,1.77E-04,777.51306,0.0014,777.51306,0.00125,777.51306,9.02E-04,777.51306,-6.33E-04
776.98779,0.00834,776.98779,0.0022,776.98779,0.0105,776.98779,0.00317,776.98779,0.01359,776.98779,0.00166,776.98779,0.0014,776.98779,3.71E-04,776.98779,0.00177,776.98779,5.34E-04,776.98779,0.00229,776.98779,2.80E-04
776.4975,0.00252,776.4975,0.00121,776.4975,0.00964,776.4975,9.66E-04,776.4975,0.00488,776.4975,0.00212,776.4975,4.25E-04,776.4975,2.04E-04,776.4975,0.00162,776.4975,1.63E-04,776.4975,8.23E-04,776.4975,3.57E-04
776.00702,0.01419,776.00702,0.01338,776.00702,0.0292,776.00702,0.01943,776.00702,0.01914,776.00702,0.01801,776.00702,0.00239,776.00702,0.00225,776.00702,0.00492,776.00702,0.00327,776.00702,0.00322,776.00702,0.00303
775.51648,0.00655,775.51648,0.00855,775.51648,0.0091,775.51648,0.00384,775.51648,0.01052,775.51648,0.00968,775.51648,0.0011,775.51648,0.00144,775.51648,0.00153,775.51648,6.46E-04,775.51648,0.00177,775.51648,0.00163
774.99084,0.00544,774.99084,-0.00278,774.99084,0.00324,774.99084,0.01142,774.99084,-5.47E-04,774.99084,0.00595,774.99084,9.17E-04,774.99084,-4.69E-04,774.99084,5.45E-04,774.99084,0.00192,774.99084,-9.21E-05,774.99084,0.001
774.50012,-0.0037,774.50012,-0.00452,774.50012,-0.00529,774.50012,0.00431,774.50012,0.00531,774.50012,0.00689,774.50012,-6.23E-04,774.50012,-7.62E-04,774.50012,-8.90E-04,774.50012,7.25E-04,774.50012,8.94E-04,774.50012,0.00116
774.00934,-0.00292,774.00934,-0.00652,774.00934,0.00367,774.00934,0.0072,774.00934,0.00615,774.00934,-0.0131,774.00934,-4.92E-04,774.00934,-0.0011,774.00934,6.19E-04,774.00934,0.00121,774.00934,0.00104,774.00934,-0.00221
773.4834,-0.00688,773.4834,0.0189,773.4834,0.01494,773.4834,0.02255,773.4834,-0.00124,773.4834,-0.00799,773.4834,-0.00116,773.4834,0.00318,773.4834,0.00252,773.4834,0.0038,773.4834,-2.09E-04,773.4834,-0.00135
