D-2_smoothed_normalized_wavelength_nm,D-2_smoothed_normalized_abs_au,P-2_smoothed_normalized_wavelength_nm,P-2_smoothed_normalized_abs_au,D-3_smoothed_normalized_wavelength_nm,D-3_smoothed_normalized_abs_au,P-3_smoothed_normalized_wavelength_nm,P-3_smoothed_normalized_abs_au,D-4_smoothed_normalized_wavelength_nm,D-4_smoothed_normalized_abs_au,P-4_smoothed_normalized_wavelength_nm,P-4_smoothed_normalized_abs_au,D-2_raw_wavelength_nm,D-2_raw_abs_au,P-2_raw_wavelength_nm,P-2_raw_abs_au,D-3_raw_wavelength_nm,D-3_raw_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au
500.01334,0.00302,500.01334,0.00441,499.99789,-0.00186,499.99789,-0.00146,500.00928,0.01442,500.00928,0.01715,500.01334,0.00147,500.01334,0.00252,499.99789,-0.00174,499.99789,-9.29E-04,500.00928,0.01302,500.00928,0.01538
499.48248,0.00286,499.48248,0.00441,499.50482,-0.00191,499.50482,-0.00131,499.51651,0.01455,499.51651,0.01725,499.48248,0.00153,499.48248,0.00214,499.50482,-0.00188,499.50482,-0.00112,499.51651,0.01285,499.51651,0.0155
498.98962,0.00286,498.98962,0.00422,499.01178,-0.00191,499.01178,-0.00114,498.98584,0.01455,498.98584,0.01725,498.98962,0.00139,498.98962,0.00218,499.01178,-0.00144,499.01178,-0.00129,498.98584,0.01297,498.98584,0.01543
498.49655,0.00286,498.49655,0.00422,498.51862,-0.00191,498.51862,-0.00114,498.49295,0.01455,498.49295,0.01731,498.49655,0.00133,498.49655,0.00205,498.51862,-0.00193,498.51862,-0.00111,498.49295,0.01323,498.49295,0.01538
498.0036,0.00275,498.0036,0.00422,497.98752,-0.00147,497.98752,-0.00131,498,0.0146,498,0.01731,498.0036,0.00155,498.0036,0.00199,497.98752,-0.00135,497.98752,0.00561,498,0.01327,498,0.0155
497.51047,0.00275,497.51047,0.0041,497.49435,-0.00153,497.49435,-0.00157,497.50711,0.01463,497.50711,0.01725,497.51047,0.00152,497.51047,0.00238,497.49435,-0.00134,497.49435,0.00109,497.50711,0.01302,497.50711,0.01549
497.0173,0.00275,497.0173,0.0041,497.00104,-0.00153,497.00104,-0.00157,497.01407,0.0146,497.01407,0.01734,497.0173,0.00134,497.0173,0.00226,497.00104,-0.00144,497.00104,-0.00189,497.01407,0.01322,497.01407,0.01558
496.48618,0.00275,496.48618,0.0045,496.50772,-0.00188,496.50772,-0.00157,496.48306,0.0146,496.48306,0.01734,496.48618,0.00144,496.48618,0.00199,496.50772,-0.00151,496.50772,-0.00154,496.48306,0.01304,496.48306,0.01536
495.99292,0.00275,495.99292,0.0045,496.01434,-0.00191,496.01434,-0.00157,495.98996,0.01426,495.98996,0.01734,495.99292,0.00125,495.99292,0.00219,496.01434,-0.00186,496.01434,-0.0013,495.98996,0.01267,495.98996,0.01546
495.4996,0.00296,495.4996,0.0045,495.48294,-0.00198,495.48294,-0.00131,495.49683,0.01426,495.49683,0.01734,495.4996,0.00178,495.4996,0.00243,495.48294,-0.00195,495.48294,-9.49E-04,495.49683,0.01431,495.49683,0.01564
495.00623,0.00341,495.00623,0.00495,494.98944,-0.00198,494.98944,-9.63E-04,495.0036,0.01426,495.0036,0.01737,495.00623,0.00166,495.00623,0.00288,494.98944,-0.00188,494.98944,-8.68E-04,495.0036,0.01271,495.0036,0.01582
494.51288,0.00341,494.51288,0.00495,494.49588,-0.00198,494.49588,-8.80E-04,494.51031,0.01448,494.51031,0.01754,494.51288,0.00205,494.51288,0.00241,494.49588,-0.002,494.49588,-4.54E-04,494.51031,0.01291,494.51031,0.01548
493.98151,0.00341,493.98151,0.00495,494.00238,-0.00191,494.00238,-4.60E-04,494.01703,0.01448,494.01703,0.01775,493.98151,0.00206,493.98151,0.00261,494.00238,-8.85E-04,494.00238,-1.33E-04,494.01703,0.01327,494.01703,0.01586
493.48791,0.0034,493.48791,0.00495,493.5087,-8.98E-04,493.5087,-1.35E-04,493.48572,0.01471,493.48572,0.0178,493.48791,0.00164,493.48791,0.00238,493.5087,0.00551,493.5087,5.09E-04,493.48572,0.01311,493.48572,0.01612
492.99442,0.00338,492.99442,0.00536,493.01505,-8.98E-04,493.01505,3.38E-05,492.99231,0.01477,492.99231,0.01796,492.99442,0.00188,492.99442,0.00278,493.01505,0.0054,493.01505,5.71E-04,492.99231,0.0137,492.99231,0.01625
