P-1_temperature_C,P-1_weight_mg,P-1_weight_percent,P-2_temperature_C,P-2_weight_mg,P-2_weight_percent,P-3_temperature_C,P-3_weight_mg,P-3_weight_percent,P-4_temperature_C,P-4_weight_mg,P-4_weight_percent
43.02203,4.00442,99.95849,43.15309,4.3697,99.86413,32.17438,7.96961,99.97576,44.49216,4.14707,100.18702
43.10473,4.00412,99.95107,43.23158,4.3697,99.86409,32.25742,7.96959,99.97551,44.65706,4.14668,100.17789
43.18426,4.00456,99.96211,43.3141,4.36974,99.86482,32.34044,7.96933,99.97226,44.82432,4.14624,100.16788
43.26717,4.00511,99.97584,43.39541,4.36984,99.86722,32.42423,7.96912,99.96967,44.991,4.14582,100.15815
43.34662,4.00509,99.97536,43.47459,4.36982,99.86685,32.50576,7.96905,99.96886,45.15721,4.14563,100.15356
43.42944,4.00464,99.964,43.55665,4.36981,99.86658,32.58932,7.96927,99.97152,45.32568,4.14553,100.15129
43.50671,4.00465,99.96423,43.63469,4.36983,99.86706,32.67292,7.96938,99.97286,45.49102,4.14527,100.14531
43.58912,4.0053,99.98043,43.71456,4.36985,99.86738,32.7549,7.96937,99.97281,45.6579,4.14497,100.13847
43.67119,4.00592,99.99601,43.7958,4.36979,99.86612,32.83978,7.96929,99.97181,45.8249,4.14496,100.1381
43.7517,4.00584,99.99391,43.87818,4.36969,99.86388,32.92005,7.96929,99.97186,45.99324,4.14483,100.13499
43.83148,4.00525,99.97926,43.95664,4.36952,99.85982,33.0064,7.96939,99.97303,46.16123,4.14476,100.13349
43.91328,4.00498,99.97259,44.03761,4.36935,99.85598,33.0886,7.96934,99.97239,46.32705,4.14445,100.12626
43.99372,4.00516,99.97716,44.12084,4.36945,99.85822,33.17237,7.96924,99.97115,46.49317,4.14414,100.11921
44.07382,4.00534,99.98163,44.19812,4.36958,99.86125,33.25442,7.96917,99.97034,46.66256,4.14395,100.11465
44.15809,4.00515,99.97689,44.28078,4.36962,99.86215,33.3385,7.96911,99.96962,46.82693,4.14365,100.10772
44.23867,4.00492,99.97109,44.35985,4.36952,99.85991,33.4198,7.96925,99.97133,46.99704,4.14344,100.10283
44.31934,4.00474,99.96653,44.43936,4.36944,99.85817,33.50352,7.96938,99.97295,47.16281,4.1434,100.10192
44.3991,4.00503,99.97389,44.52149,4.3695,99.85954,33.58878,7.96934,99.97242,47.33088,4.14295,100.09163
44.48026,4.00526,99.97943,44.60175,4.36959,99.86141,33.67096,7.96902,99.96844,47.49562,4.14242,100.07924
44.5605,4.00523,99.97888,44.68276,4.36953,99.86023,33.75459,7.96871,99.96466,47.65952,4.14199,100.06934
44.6413,4.0051,99.97554,44.75982,4.36943,99.85776,33.83942,7.96877,99.96538,47.83148,4.14206,100.07092
