P-4_normalized_wavelength_nm,P-4_normalized_abs_au,D-4_normalized_wavelength_nm,D-4_normalized_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au
444.00339,0.03416,444.00339,0.03796,444.00339,0.03204,444.00339,0.0356
443.00601,0.03432,443.00601,0.03928,443.00601,0.03219,443.00601,0.03684
442.00836,0.03484,442.00836,0.04035,442.00836,0.03268,442.00836,0.03784
441.01065,0.0351,441.01065,0.04149,441.01065,0.03292,441.01065,0.03891
440.01266,0.0351,440.01266,0.04242,440.01266,0.03292,440.01266,0.03978
439.01453,0.03556,439.01453,0.04363,439.01453,0.03335,439.01453,0.04091
438.0162,0.03609,438.0162,0.0447,438.0162,0.03384,438.0162,0.04193
437.01776,0.0363,437.01776,0.04597,437.01776,0.03405,437.01776,0.04311
436.0191,0.03685,436.0191,0.04714,436.0191,0.03456,436.0191,0.04421
434.98181,0.03739,434.98181,0.04849,434.98181,0.03506,434.98181,0.04548
433.98279,0.0378,433.98279,0.04989,433.98279,0.03545,433.98279,0.04679
432.98355,0.03823,432.98355,0.05142,432.98355,0.03586,432.98355,0.04822
431.98422,0.03838,431.98422,0.05246,431.98422,0.03599,431.98422,0.0492
430.98462,0.03859,430.98462,0.05384,430.98462,0.03619,430.98462,0.05049
429.98489,0.03902,429.98489,0.05532,429.98489,0.03659,429.98489,0.05188
428.98499,0.03945,428.98499,0.0572,428.98499,0.037,428.98499,0.05365
427.98495,0.03978,427.98495,0.0587,427.98495,0.0373,427.98495,0.05505
426.98465,0.04014,426.98465,0.0599,426.98465,0.03764,426.98465,0.05618
425.98422,0.0401,425.98422,0.06077,425.98422,0.03761,425.98422,0.057
424.98361,0.04039,424.98361,0.06207,424.98361,0.03788,424.98361,0.05821
423.98285,0.04036,423.98285,0.0632,423.98285,0.03785,423.98285,0.05927
422.98187,0.04042,422.98187,0.06442,422.98187,0.03791,422.98187,0.06041
421.9808,0.04044,421.9808,0.06551,421.9808,0.03793,421.9808,0.06144
421.01801,0.0403,421.01801,0.06649,421.01801,0.03779,421.01801,0.06236
420.01654,0.04047,420.01654,0.0682,420.01654,0.03796,420.01654,0.06396
419.01492,0.04068,419.01492,0.06974,419.01492,0.03816,419.01492,0.0654
418.01315,0.04087,418.01315,0.07127,418.01315,0.03833,418.01315,0.06684
417.01114,0.04124,417.01114,0.07274,417.01114,0.03868,417.01114,0.06822
416.00903,0.04125,416.00903,0.07373,416.00903,0.03868,416.00903,0.06915
415.00674,0.04159,415.00674,0.07527,415.00674,0.039,415.00674,0.0706
414.00421,0.04173,414.00421,0.07645,414.00421,0.03914,414.00421,0.0717
413.00159,0.04196,413.00159,0.07805,413.00159,0.03935,413.00159,0.0732
411.99875,0.04222,411.99875,0.07919,411.99875,0.0396,411.99875,0.07427
410.99579,0.04283,410.99579,0.08074,410.99579,0.04017,410.99579,0.07573
409.99265,0.04343,409.99265,0.08273,409.99265,0.04073,409.99265,0.07759
408.98935,0.04426,408.98935,0.08489,408.98935,0.04151,408.98935,0.07962
407.98581,0.04479,407.98581,0.08698,407.98581,0.04201,407.98581,0.08158
406.98218,0.04528,406.98218,0.08856,406.98218,0.04246,406.98218,0.08306
406.017,0.04575,406.017,0.09031,406.017,0.04291,406.017,0.0847
405.013,0.04635,405.013,0.09211,405.013,0.04347,405.013,0.08639
404.00888,0.04709,404.00888,0.09412,404.00888,0.04417,404.00888,0.08828
403.00461,0.04783,403.00461,0.09624,403.00461,0.04486,403.00461,0.09026
402.00009,0.04871,402.00009,0.09849,402.00009,0.04569,402.00009,0.09237
400.99545,0.04954,400.99545,0.10038,400.99545,0.04646,400.99545,0.09414
399.99066,0.05003,399.99066,0.10247,399.99066,0.04693,399.99066,0.0961
398.98572,0.05061,398.98572,0.1046,398.98572,0.04746,398.98572,0.0981
398.01929,0.05088,398.01929,0.10644,398.01929,0.04772,398.01929,0.09983
397.01401,0.05151,397.01401,0.10882,397.01401,0.04831,397.01401,0.10206
396.00858,0.05215,396.00858,0.11085,396.00858,0.04891,396.00858,0.10397
395.00296,0.05286,395.00296,0.11309,395.00296,0.04957,395.00296,0.10606
393.99719,0.05366,393.99719,0.1157,393.99719,0.05033,393.99719,0.10851
392.9913,0.05448,392.9913,0.11771,392.9913,0.05109,392.9913,0.1104
391.9852,0.05519,391.9852,0.11962,391.9852,0.05176,391.9852,0.11219
391.01767,0.05547,391.01767,0.12147,391.01767,0.05202,391.01767,0.11392
390.01126,0.05584,390.01126,0.123,390.01126,0.05237,390.01126,0.11536
389.00473,0.05616,389.00473,0.12462,389.00473,0.05267,389.00473,0.11688
387.99802,0.05638,387.99802,0.12668,387.99802,0.05287,387.99802,0.11881
386.99112,0.05746,386.99112,0.1289,386.99112,0.05389,386.99112,0.12089
385.98413,0.05782,385.98413,0.13108,385.98413,0.05423,385.98413,0.12294
385.01569,0.05876,385.01569,0.13362,385.01569,0.05511,385.01569,0.12532
384.00836,0.05897,384.00836,0.13566,384.00836,0.05531,384.00836,0.12723
383.00082,0.05914,383.00082,0.13737,383.00082,0.05546,383.00082,0.12883
381.99323,0.05973,381.99323,0.13906,381.99323,0.05601,381.99323,0.13042
380.98541,0.05938,380.98541,0.13997,380.98541,0.05569,380.98541,0.13127
380.0162,0.05991,380.0162,0.14173,380.0162,0.05619,380.0162,0.13293
379.00812,0.06058,379.00812,0.1433,379.00812,0.05682,379.00812,0.1344
377.99988,0.06132,377.99988,0.14516,377.99988,0.05751,377.99988,0.13614
376.99146,0.06185,376.99146,0.14736,376.99146,0.05801,376.99146,0.1382
375.98288,0.06258,375.98288,0.14873,375.98288,0.05869,375.98288,0.13949
375.01297,0.0633,375.01297,0.14993,375.01297,0.05936,375.01297,0.14061
374.00409,0.06375,374.00409,0.15128,374.00409,0.05979,374.00409,0.14188
372.99509,0.06472,372.99509,0.1525,372.99509,0.0607,372.99509,0.14302
371.9859,0.06612,371.9859,0.15343,371.9859,0.06201,371.9859,0.1439
371.01541,0.06773,371.01541,0.15485,371.01541,0.06352,371.01541,0.14523
370.00598,0.06899,370.00598,0.15649,370.00598,0.0647,370.00598,0.14676
368.99634,0.06991,368.99634,0.15709,368.99634,0.06557,368.99634,0.14732
