P-3_conc_1_wavelength_nm,P-3_conc_1_abs_au,P-3_conc_2_wavelength_nm,P-3_conc_2_abs_au,P-3_conc_3_wavelength_nm,P-3_conc_3_abs_au,P-3_conc_4_wavelength_nm,P-3_conc_4_abs_au,P-3_conc_5_wavelength_nm,P-3_conc_5_abs_au,P-3_conc_1_em_wavelength_nm,P-3_conc_1_em_intensity,P-3_conc_2_em_wavelength_nm,P-3_conc_2_em_intensity,P-3_conc_3_em_wavelength_nm,P-3_conc_3_em_intensity,P-3_conc_4_em_wavelength_nm,P-3_conc_4_em_intensity,P-3_conc_5_em_wavelength_nm,P-3_conc_5_em_intensity,2-AP_conc_1_wavelength_nm,2-AP_conc_1_abs_au,2-AP_conc_2_wavelength_nm,2-AP_conc_2_abs_au,2-AP_conc_3_wavelength_nm,2-AP_conc_3_abs_au,2-AP_conc_4_wavelength_nm,2-AP_conc_4_abs_au,2-AP_conc_5_wavelength_nm,2-AP_conc_5_abs_au,2-AP_conc_1_em_wavelength_nm,2-AP_conc_1_em_intensity,2-AP_conc_2_em_wavelength_nm,2-AP_conc_2_em_intensity,2-AP_conc_3_em_wavelength_nm,2-AP_conc_3_em_intensity,2-AP_conc_4_em_wavelength_nm,2-AP_conc_4_em_intensity,2-AP_conc_5_em_wavelength_nm,2-AP_conc_5_em_intensity,ACN_em_background_wavelength_nm,ACN_em_background_intensity
788.5064697,-0.00169584,788.5064697,-0.001804484,788.5064697,-0.000454061,788.5064697,-0.001063439,788.5064697,0.001428041,321.5,1.66E+03,321.5,1.21E+03,321.5,1.63E+03,321.5,1.90E+03,321.5,1.56E+03,588.5122681,-0.000424478,588.5122681,9.34E-05,588.5122681,-0.001553483,588.5122681,-0.00145654,588.5122681,-0.000271769,321.5,3.11E+05,321.5,2.91E+05,321.5,2.38E+05,321.5,1.74E+05,321.5,1.01E+05,321.5,1.01E+03
787.9835815,-0.000731129,787.9835815,-0.001948821,787.9835815,-5.43E-05,787.9835815,-0.002145608,787.9835815,0.001698563,322,1.78E+03,322,1.12E+03,322,1.51E+03,322,1.78E+03,322,1.38E+03,587.991394,-0.000124545,587.991394,0.000184295,587.991394,-0.001063232,587.991394,-0.001624461,587.991394,-0.000271562,322,3.29E+05,322,3.04E+05,322,2.52E+05,322,1.83E+05,322,1.07E+05,322,9.38E+02
787.4954224,-0.001521549,787.4954224,-0.002398121,787.4954224,-0.00094314,787.4954224,-0.002436735,787.4954224,0.000189578,322.5,1.81E+03,322.5,1.00E+03,322.5,1.53E+03,322.5,1.54E+03,322.5,1.31E+03,587.5077515,-0.000546885,587.5077515,0.000554961,587.5077515,-0.0009139,587.5077515,-0.000589024,587.5077515,-0.00025485,322.5,3.45E+05,322.5,3.19E+05,322.5,2.64E+05,322.5,1.91E+05,322.5,1.12E+05,322.5,7.11E+02
787.0073242,-0.000702546,787.0073242,-0.002490376,787.0073242,-0.000228461,787.0073242,-0.000180646,787.0073242,0.001796885,323,1.91E+03,323,1.01E+03,323,1.57E+03,323,1.66E+03,323,1.28E+03,586.9867554,-0.000698256,586.9867554,0.000159798,586.9867554,-0.001236984,586.9867554,-0.001520569,586.9867554,-0.000575374,323,3.62E+05,323,3.36E+05,323,2.76E+05,323,2.01E+05,323,1.18E+05,323,6.72E+02
786.4840088,-0.001289018,786.4840088,-0.001024754,786.4840088,0.001190339,786.4840088,-0.001316117,786.4840088,0.00212057,323.5,1.72E+03,323.5,9.89E+02,323.5,1.49E+03,323.5,1.57E+03,323.5,1.20E+03,586.5029297,-0.000520514,586.5029297,-2.77E-05,586.5029297,-0.001576954,586.5029297,-0.00145752,586.5029297,-0.000275184,323.5,3.79E+05,323.5,3.50E+05,323.5,2.88E+05,323.5,2.10E+05,323.5,1.22E+05,323.5,6.26E+02
785.9956665,-0.000748081,785.9956665,-0.001439305,785.9956665,-0.000347147,785.9956665,-0.00148853,785.9956665,0.001901443,324,1.47E+03,324,1.14E+03,324,1.38E+03,324,1.62E+03,324,1.24E+03,585.9818115,-0.000586749,585.9818115,-0.000185977,585.9818115,-0.001283031,585.9818115,-0.001185201,585.9818115,-0.000310934,324,3.93E+05,324,3.64E+05,324,2.98E+05,324,2.19E+05,324,1.27E+05,324,6.48E+02
785.5072021,6.84E-05,785.5072021,-0.000957398,785.5072021,0.000338798,785.5072021,-0.000565654,785.5072021,0.002349906,324.5,1.33E+03,324.5,1.11E+03,324.5,1.61E+03,324.5,1.77E+03,324.5,1.20E+03,585.4979248,-0.000301053,585.4979248,0.000248758,585.4979248,-0.001023825,585.4979248,-0.001053419,585.4979248,-0.000326403,324.5,4.09E+05,324.5,3.79E+05,324.5,3.09E+05,324.5,2.26E+05,324.5,1.32E+05,324.5,5.36E+02
784.9836426,-0.000730664,784.9836426,-0.001664845,784.9836426,-7.12E-05,784.9836426,-0.001186389,784.9836426,0.00075168,325,1.37E+03,325,1.24E+03,325,1.64E+03,325,1.74E+03,325,1.42E+03,585.0139771,-0.00062692,585.0139771,-6.55E-05,585.0139771,-0.001336918,585.0139771,-0.000936011,585.0139771,-0.000603293,325,4.21E+05,325,3.91E+05,325,3.17E+05,325,2.36E+05,325,1.37E+05,325,7.05E+02
784.4949341,-0.000891891,784.4949341,-0.001921916,784.4949341,-0.00067391,784.4949341,-0.002003965,784.4949341,0.0012096,325.5,1.60E+03,325.5,1.42E+03,325.5,1.69E+03,325.5,2.09E+03,325.5,1.50E+03,584.4926758,0.000260595,584.4926758,0.000554961,584.4926758,-0.00118484,584.4926758,-0.00090739,584.4926758,-0.000163827,325.5,4.36E+05,325.5,4.02E+05,325.5,3.27E+05,325.5,2.42E+05,325.5,1.42E+05,325.5,7.96E+02
784.0061646,-0.000126253,784.0061646,-0.001770094,784.0061646,-9.66E-05,784.0061646,-0.000427167,784.0061646,0.001474947,326,1.74E+03,326,1.67E+03,326,2.17E+03,326,2.20E+03,326,1.69E+03,584.0085449,7.16E-05,584.0085449,0.000456195,584.0085449,-0.001085542,584.0085449,-0.000989425,584.0085449,1.44E-05,326,4.52E+05,326,4.18E+05,326,3.37E+05,326,2.50E+05,326,1.46E+05,326,1.06E+03
783.517395,-0.001081824,783.517395,-0.001879803,783.517395,0.000378462,783.517395,-0.001232286,783.517395,0.002227469,326.5,1.97E+03,326.5,2.03E+03,326.5,2.51E+03,326.5,2.79E+03,326.5,2.13E+03,583.4871826,-0.000232756,583.4871826,0.000541795,583.4871826,-0.001303523,583.4871826,-0.001116527,583.4871826,4.21E-05,326.5,4.64E+05,326.5,4.29E+05,326.5,3.46E+05,326.5,2.57E+05,326.5,1.50E+05,326.5,1.38E+03
782.9934692,0.000428495,782.9934692,-0.000692622,782.9934692,0.000357192,782.9934692,-9.43E-05,782.9934692,0.001247812,327,2.42E+03,327,2.39E+03,327,3.01E+03,327,3.17E+03,327,2.54E+03,583.0028687,-0.000544661,583.0028687,2.17E-05,583.0028687,-0.001833871,583.0028687,-0.001440544,583.0028687,-0.000868537,327,4.76E+05,327,4.40E+05,327,3.53E+05,327,2.64E+05,327,1.54E+05,327,1.84E+03
